epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.84308,3.30339,4.69081,1.23067,0.26267,0.26848,0.18922,0.08515,2.99108,2.47787,0.97889,0.00020006,0.00020006,0.00020006
2,13.9015,2.79864,2.01287,0.95443,0.51846,0.20771,0.20183,0.05822,2.80345,1.95059,0.93254,0.000413589,0.000413589,0.000413589
3,21.1361,2.83218,1.96776,0.95425,0.58237,0.16573,0.20045,0.0595,2.95392,1.8585,0.91026,0.00062627,0.00062627,0.00062627
4,28.0103,2.91003,1.97939,0.90865,0.71189,0.23764,0.2522,0.07242,3.11752,1.93702,0.9069,0.000838102,0.000838102,0.000838102
5,34.9166,2.78736,1.76116,0.92427,0.70809,0.15414,0.2348,0.06407,3.07933,1.94054,0.92005,0.00104908,0.00104908,0.00104908
6,41.8923,2.85813,1.83307,0.89949,0.4935,0.32786,0.27187,0.08039,2.88272,1.92567,0.89048,0.00125922,0.00125922,0.00125922
7,48.9113,2.55989,1.64769,0.88881,0.59782,0.19204,0.20597,0.05272,3.01313,2.07647,0.9053,0.00141202,0.00141202,0.00141202
8,56.0101,2.60864,1.67493,0.8974,0.40728,0.22119,0.17627,0.06532,2.89996,2.12247,0.90784,0.00140919,0.00140919,0.00140919
9,62.8944,2.80727,1.8447,0.88104,0.32762,0.26754,0.20662,0.07963,2.87624,1.82814,0.88317,0.00140636,0.00140636,0.00140636
10,70.0395,2.51247,1.54704,0.89188,0.68669,0.375,0.3869,0.14726,2.81749,1.64299,0.88473,0.00140354,0.00140354,0.00140354
11,77.3144,2.65079,1.52636,0.88645,0.61697,0.3396,0.37542,0.13069,2.8196,1.78761,0.88249,0.00140071,0.00140071,0.00140071
12,84.4106,2.43688,1.53532,0.89135,0.61897,0.36542,0.3701,0.13647,2.79161,1.60656,0.87642,0.00139788,0.00139788,0.00139788
13,91.4881,2.55888,1.49198,0.88013,0.675,0.38878,0.40259,0.14433,2.75386,1.50927,0.86828,0.00139505,0.00139505,0.00139505
14,98.4598,2.50724,1.41256,0.86527,0.73042,0.34743,0.38072,0.13121,2.90904,1.63343,0.88586,0.00139222,0.00139222,0.00139222
15,105.487,2.55006,1.46678,0.87864,0.51326,0.36661,0.38272,0.12184,2.82106,1.65727,0.87731,0.00138939,0.00138939,0.00138939
16,112.635,2.56819,1.45948,0.85378,0.57145,0.30984,0.34147,0.10911,2.95458,1.6449,0.87739,0.00138656,0.00138656,0.00138656
17,119.775,2.4516,1.39681,0.85458,0.63311,0.38127,0.38694,0.12639,2.80579,1.54309,0.87351,0.00138373,0.00138373,0.00138373
18,127.039,2.46779,1.31961,0.85482,0.66236,0.34367,0.37857,0.1295,2.87743,1.52776,0.86897,0.0013809,0.0013809,0.0013809
19,133.728,2.36959,1.3336,0.8549,0.76726,0.35871,0.40983,0.132,2.84207,1.513,0.8641,0.00137807,0.00137807,0.00137807
20,143.86,2.42684,1.31557,0.86379,0.49353,0.36699,0.36885,0.13638,2.8465,1.53656,0.86061,0.00137524,0.00137524,0.00137524
21,152.219,2.42561,1.35113,0.85213,0.41087,0.36967,0.34658,0.11431,2.79439,1.52394,0.86144,0.00137241,0.00137241,0.00137241
22,159.15,2.25194,1.29966,0.8564,0.41847,0.51362,0.3946,0.13352,2.72595,1.5555,0.86081,0.00136958,0.00136958,0.00136958
23,166.208,2.25939,1.21959,0.84041,0.50048,0.3373,0.35347,0.11368,2.71115,1.6791,0.8658,0.00136675,0.00136675,0.00136675
24,173.302,2.37348,1.31751,0.85115,0.42267,0.38469,0.36573,0.13257,2.77254,1.60018,0.86921,0.00136392,0.00136392,0.00136392
25,180.349,2.33927,1.2826,0.86205,0.61325,0.31487,0.37241,0.13513,2.83045,1.40395,0.86855,0.00136109,0.00136109,0.00136109
26,187.367,2.46514,1.29964,0.85176,0.86192,0.34793,0.38715,0.13475,2.69284,1.40618,0.86341,0.00135826,0.00135826,0.00135826
27,195.049,2.27773,1.24183,0.84754,0.65033,0.30545,0.38109,0.13957,2.66229,1.53806,0.85552,0.00135544,0.00135544,0.00135544
28,202.129,2.27487,1.24752,0.84567,0.74261,0.30138,0.33246,0.10447,2.7457,1.63001,0.86252,0.00135261,0.00135261,0.00135261
29,209.398,2.23053,1.21473,0.84593,0.74065,0.37177,0.38418,0.15436,2.68054,1.543,0.85879,0.00134978,0.00134978,0.00134978
