epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,310.645,1.99803,1.00017,0.83544,0.6435,0.40944,0.4576,0.17257,2.58784,1.35291,0.84591,0.00113898,0.00113898,0.00113898
43,317.755,2.06175,1.0036,0.82305,0.71288,0.36184,0.43973,0.15839,2.57465,1.38142,0.85361,0.00113191,0.00113191,0.00113191
44,324.697,2.07689,1.01816,0.85146,0.79181,0.38019,0.41532,0.16556,2.56779,1.47291,0.85679,0.00112484,0.00112484,0.00112484
45,331.317,2.03439,0.99204,0.83394,0.65257,0.40054,0.44408,0.19104,2.53055,1.45566,0.84775,0.00111776,0.00111776,0.00111776
46,338.333,2.02144,0.99566,0.83092,0.65856,0.36788,0.42179,0.16619,2.54883,1.5119,0.84812,0.00111069,0.00111069,0.00111069
47,345.223,1.96017,0.93856,0.8219,0.58399,0.3468,0.37717,0.16236,2.58699,1.55123,0.85329,0.00110362,0.00110362,0.00110362
48,352.122,2.13238,1.03605,0.8425,0.5498,0.40758,0.4044,0.15059,2.57147,1.4683,0.84517,0.00109654,0.00109654,0.00109654
49,358.952,2.01397,0.96895,0.8341,0.59501,0.50035,0.46667,0.17464,2.42432,1.31226,0.84057,0.00108947,0.00108947,0.00108947
50,365.889,2.03758,1.01895,0.81251,0.76507,0.42151,0.46191,0.18348,2.4523,1.30538,0.84739,0.0010824,0.0010824,0.0010824
51,373.351,1.95246,0.94396,0.83121,0.75554,0.44717,0.48918,0.19145,2.44161,1.29286,0.8433,0.00107532,0.00107532,0.00107532
52,380.845,2.01212,1.00322,0.82046,0.63265,0.50188,0.46162,0.15079,2.46955,1.34343,0.85403,0.00106825,0.00106825,0.00106825
53,387.967,2.0379,1.00888,0.81315,0.69717,0.5282,0.5027,0.16281,2.44276,1.32165,0.84595,0.00106118,0.00106118,0.00106118
54,395.243,1.92085,0.93508,0.82304,0.59942,0.46021,0.44802,0.14908,2.49251,1.34871,0.84525,0.0010541,0.0010541,0.0010541
55,402.462,1.98746,0.99352,0.8038,0.58399,0.4906,0.49921,0.1645,2.48037,1.38687,0.84498,0.00104703,0.00104703,0.00104703
56,411.407,1.90365,0.89778,0.81093,0.64871,0.4339,0.45825,0.17561,2.43206,1.51323,0.84162,0.00103995,0.00103995,0.00103995
57,418.559,1.91994,0.90641,0.81645,0.79376,0.42262,0.46888,0.1944,2.42997,1.54689,0.84097,0.00103288,0.00103288,0.00103288
58,426.852,1.99682,0.96201,0.82402,0.57661,0.52444,0.50396,0.191,2.42691,1.55794,0.84198,0.00102581,0.00102581,0.00102581
59,433.733,2.00047,0.94855,0.82864,0.72338,0.41479,0.42055,0.16408,2.37235,1.47022,0.83639,0.00101873,0.00101873,0.00101873
60,440.578,1.92288,0.93588,0.81602,0.50198,0.44862,0.40526,0.15905,2.37921,1.40137,0.84233,0.00101166,0.00101166,0.00101166
61,447.683,1.86506,0.96415,0.81985,0.6383,0.42982,0.43171,0.1633,2.40253,1.43812,0.84274,0.00100459,0.00100459,0.00100459
62,454.808,1.90364,0.9551,0.8304,0.79318,0.37623,0.46241,0.15695,2.52406,1.3889,0.84191,0.000997513,0.000997513,0.000997513
