epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.78726,2.99919,4.26153,1.14009,0.59462,0.14669,0.181,0.03065,3.07832,3.01441,1.02319,0.00024293,0.00024293,0.00024293
2,16.1162,2.84688,2.17683,0.99101,0.28924,0.25134,0.21405,0.06236,3.01536,2.41056,0.99691,0.000497674,0.000497674,0.000497674
3,24.8618,2.67318,1.88839,0.94075,0.45945,0.37001,0.31281,0.1079,3.18415,1.9875,1.01675,0.000749872,0.000749872,0.000749872
4,34.6614,2.69191,1.74897,0.94847,0.56922,0.41058,0.43174,0.19758,2.50591,1.60118,0.94606,0.000999523,0.000999523,0.000999523
5,43.2248,2.64675,1.73302,0.92141,0.62153,0.3703,0.43207,0.18864,2.5887,1.66387,0.94459,0.00124663,0.00124663,0.00124663
6,51.6456,2.6188,1.79369,0.9177,0.73515,0.48213,0.52227,0.20816,2.5347,1.51034,0.94078,0.00139363,0.00139363,0.00139363
7,60.0334,2.58443,1.64394,0.9244,0.73895,0.38909,0.44479,0.18464,2.55131,1.61407,0.94837,0.00138656,0.00138656,0.00138656
8,68.4135,2.5087,1.60723,0.9059,0.71943,0.50566,0.53476,0.2038,2.43213,1.46884,0.93343,0.00137949,0.00137949,0.00137949
9,76.7092,2.48329,1.47482,0.923,0.76635,0.4099,0.49374,0.21307,2.39806,1.37736,0.93953,0.00137241,0.00137241,0.00137241
10,85.1204,2.34049,1.4027,0.90883,0.77633,0.39148,0.39345,0.12157,2.47718,1.46173,0.92318,0.00136534,0.00136534,0.00136534
11,93.4392,2.42825,1.45304,0.89039,0.68018,0.52096,0.55429,0.21083,2.34422,1.48493,0.91104,0.00135826,0.00135826,0.00135826
12,101.796,2.50767,1.50418,0.90315,0.70637,0.51185,0.55059,0.23762,2.33727,1.47683,0.91694,0.00135119,0.00135119,0.00135119
13,110.037,2.37802,1.30111,0.89111,0.78432,0.54797,0.60739,0.24837,2.28322,1.35263,0.91026,0.00134412,0.00134412,0.00134412
14,118.362,2.32554,1.34197,0.89876,0.78979,0.42008,0.49323,0.20574,2.30224,1.30642,0.91193,0.00133704,0.00133704,0.00133704
15,127.12,2.36447,1.31154,0.89595,0.63249,0.50966,0.55793,0.23012,2.28305,1.22893,0.91472,0.00132997,0.00132997,0.00132997
16,135.788,2.33428,1.32928,0.87997,0.68581,0.46363,0.51903,0.21127,2.52369,1.47688,0.93459,0.0013229,0.0013229,0.0013229
17,145.766,2.37907,1.2978,0.89539,0.6853,0.48242,0.48234,0.20129,2.68295,1.39755,0.93545,0.00131582,0.00131582,0.00131582
18,154.86,2.30631,1.27849,0.89962,0.76458,0.45558,0.51805,0.20334,2.54155,1.3577,0.92296,0.00130875,0.00130875,0.00130875
19,163.406,2.34156,1.25535,0.88478,0.60203,0.50996,0.56162,0.2308,2.29412,1.2991,0.91063,0.00130168,0.00130168,0.00130168
20,171.947,2.25484,1.22056,0.88595,0.79256,0.51491,0.642,0.25306,2.26685,1.28584,0.9079,0.0012946,0.0012946,0.0012946
21,180.391,2.29744,1.24839,0.87867,0.74046,0.58318,0.63211,0.27996,2.3585,1.21859,0.90882,0.00128753,0.00128753,0.00128753
22,189.251,2.24671,1.14316,0.88901,0.76536,0.57543,0.61636,0.25745,2.25078,1.32941,0.89984,0.00128046,0.00128046,0.00128046
23,197.709,2.23182,1.17679,0.86338,0.81989,0.6398,0.70153,0.31187,2.18032,1.22561,0.89004,0.00127338,0.00127338,0.00127338
24,206.135,2.17893,1.13728,0.87591,0.82005,0.57126,0.65097,0.28731,2.15741,1.10438,0.8935,0.00126631,0.00126631,0.00126631
25,214.446,2.17419,1.14307,0.86771,0.88206,0.54403,0.69583,0.30326,2.1288,1.03979,0.89165,0.00125923,0.00125923,0.00125923
26,222.839,2.16522,1.14065,0.87247,0.87383,0.55606,0.6273,0.3114,2.17892,1.07014,0.89691,0.00125216,0.00125216,0.00125216
27,230.868,2.12107,1.05687,0.87652,0.87082,0.57543,0.65735,0.29016,2.1435,1.21573,0.89898,0.00124509,0.00124509,0.00124509
28,238.914,2.1557,1.16512,0.86176,0.87584,0.66756,0.74868,0.33608,2.10148,1.01956,0.89446,0.00123801,0.00123801,0.00123801
29,247.164,2.08672,1.0343,0.86284,0.82458,0.69002,0.73071,0.32091,2.1647,1.02351,0.89452,0.00123094,0.00123094,0.00123094
30,255.57,2.19647,1.108,0.86434,0.87001,0.60111,0.70703,0.25595,2.28502,1.11424,0.90203,0.00122387,0.00122387,0.00122387
31,263.668,2.08377,1.05236,0.86085,0.83135,0.66369,0.73044,0.33227,2.14733,1.06076,0.89313,0.00121679,0.00121679,0.00121679
32,273.134,2.09881,1.07642,0.87625,0.83546,0.56052,0.65109,0.29967,2.21967,1.09251,0.9003,0.00120972,0.00120972,0.00120972
33,280.947,2.08138,1.04047,0.85641,0.8111,0.70956,0.78037,0.32486,2.13456,1.01392,0.89391,0.00120265,0.00120265,0.00120265
34,288.907,2.11475,1.10446,0.85455,0.85679,0.65333,0.72209,0.31983,2.1734,1.03902,0.89619,0.00119557,0.00119557,0.00119557
35,296.957,2.10655,1.04238,0.85927,0.7372,0.69411,0.73512,0.33274,2.07985,1.00026,0.88593,0.0011885,0.0011885,0.0011885
36,304.957,2.06787,1.0295,0.85428,0.78305,0.70068,0.79687,0.36799,2.05822,0.99607,0.88323,0.00118143,0.00118143,0.00118143
