epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,349.167,1.98651,0.96383,0.84869,0.79307,0.69795,0.73657,0.35515,2.04738,0.95579,0.88547,0.00104231,0.00104231,0.00104231
43,356.835,1.93127,0.93994,0.85624,0.88683,0.68444,0.7615,0.3398,2.09312,1.01356,0.88681,0.00103288,0.00103288,0.00103288
44,364.592,1.86755,0.89709,0.84461,0.8084,0.7257,0.77231,0.34245,2.12183,0.96857,0.89544,0.00102345,0.00102345,0.00102345
45,372.233,1.97639,0.97902,0.83902,0.74102,0.69013,0.69775,0.3022,2.15899,1.01079,0.8954,0.00101402,0.00101402,0.00101402
46,379.927,1.9069,0.92143,0.85438,0.89887,0.63551,0.71235,0.33931,2.0428,0.95234,0.88547,0.00100459,0.00100459,0.00100459
47,387.671,1.96075,0.96876,0.84328,0.89308,0.64816,0.75809,0.36175,1.97761,0.91708,0.88297,0.000995156,0.000995156,0.000995156
48,395.789,1.92307,0.94866,0.8488,0.87531,0.65078,0.7446,0.37271,1.98165,0.91492,0.88608,0.000985724,0.000985724,0.000985724
49,403.437,1.98999,1.02755,0.84846,0.83298,0.77405,0.80153,0.36983,1.95182,0.88789,0.88021,0.000976293,0.000976293,0.000976293
50,411.835,1.88403,0.92298,0.84573,0.83897,0.65623,0.74975,0.39963,1.96834,0.91053,0.88063,0.000966861,0.000966861,0.000966861
51,422.171,1.88548,0.87977,0.84823,0.86172,0.71731,0.78511,0.39845,1.91766,0.90774,0.87675,0.00095743,0.00095743,0.00095743
52,430.581,1.82882,0.866,0.83871,0.87382,0.72324,0.80192,0.39848,1.90881,0.91823,0.87177,0.000947999,0.000947999,0.000947999
53,438.407,1.94187,0.90707,0.84948,0.84975,0.6446,0.76045,0.38719,1.92829,0.91836,0.87915,0.000938567,0.000938567,0.000938567
54,446.305,1.91308,0.94206,0.83474,0.81599,0.7257,0.79767,0.41042,1.86961,0.91408,0.87255,0.000929136,0.000929136,0.000929136
55,455.074,1.86702,0.9255,0.82577,0.83333,0.67313,0.78315,0.36471,1.94507,0.94119,0.8783,0.000919704,0.000919704,0.000919704
56,463.303,1.79153,0.84622,0.84641,0.93191,0.6376,0.78513,0.4218,1.90912,0.90864,0.87397,0.000910273,0.000910273,0.000910273
57,471.468,1.83755,0.86031,0.8467,0.91982,0.69548,0.81728,0.41038,1.96241,0.90127,0.87495,0.000900842,0.000900842,0.000900842
58,479.338,1.8758,0.90676,0.83958,0.95132,0.66966,0.76389,0.41123,1.90529,0.8748,0.87247,0.00089141,0.00089141,0.00089141
59,487.167,1.79702,0.83174,0.83707,0.88975,0.70878,0.74846,0.35335,1.9957,0.88134,0.88176,0.000881979,0.000881979,0.000881979
60,494.997,1.85444,0.86276,0.84438,0.9043,0.71407,0.7924,0.39113,1.85759,0.88564,0.87347,0.000872547,0.000872547,0.000872547
61,503.29,1.80606,0.85022,0.83321,0.90115,0.66756,0.74003,0.37858,2.00373,0.88656,0.88314,0.000863116,0.000863116,0.000863116
62,511.047,1.81639,0.84917,0.8398,0.90159,0.698,0.75487,0.41859,1.90196,0.84319,0.87567,0.000853685,0.000853685,0.000853685
63,518.761,1.79121,0.8558,0.83063,0.86835,0.71437,0.80667,0.42918,1.81316,0.83304,0.86783,0.000844253,0.000844253,0.000844253
64,526.631,1.75765,0.83359,0.83224,0.90508,0.72127,0.79617,0.43379,1.86682,0.82638,0.86754,0.000834822,0.000834822,0.000834822
65,534.445,1.82389,0.85306,0.84554,0.93898,0.71205,0.81696,0.47416,1.74634,0.8199,0.86111,0.00082539,0.00082539,0.00082539
66,542.31,1.74014,0.82255,0.82645,0.83066,0.78984,0.84978,0.46617,1.77388,0.81286,0.86461,0.000815959,0.000815959,0.000815959
67,550.01,1.70814,0.79244,0.84127,0.90673,0.68126,0.81831,0.45907,1.794,0.80929,0.86492,0.000806528,0.000806528,0.000806528
68,557.88,1.78418,0.82362,0.83344,0.79783,0.77233,0.82512,0.43977,1.86641,0.82937,0.86462,0.000797096,0.000797096,0.000797096
69,565.517,1.69921,0.78739,0.83302,0.82175,0.63327,0.77163,0.41119,1.87771,0.85496,0.86705,0.000787665,0.000787665,0.000787665
